	bad	good
6.974484310538817e-05	20.63566836273666	5.303739898730729
7.036979622452806e-05	20.83696403652896	5.3634213292456945
7.099474934366796e-05	18.371970490728604	5.272275714473035
7.161970246280785e-05	18.915487428395863	5.148906524406437
7.224465558194776e-05	19.01954449918765	4.984920460159752
7.286960870108763e-05	19.861428531926496	5.222186257507726
7.349456182022753e-05	19.673062787985863	5.208293949472759
7.411951493936742e-05	19.026373137691284	5.333808550581715
7.474446805850732e-05	18.767878134096428	5.142565822066556
7.53694211776472e-05	17.70989884937958	4.912545055094789
7.599437429678709e-05	17.792850828033952	4.817110163006484
7.661932741592699e-05	17.632880350212186	4.885987690663324
7.724428053506688e-05	16.566326033384435	4.901175958547553
7.786923365420678e-05	17.328268136681608	5.10602492919801
7.849418677334665e-05	17.73232344464192	4.869107480601532
7.911913989248656e-05	18.127161311733662	4.7345748978562305
7.974409301162645e-05	16.17854524118472	4.786651268910036
8.036904613076635e-05	16.588625735046385	4.7417257903079415
8.099399924990624e-05	17.32798428305417	4.778834086196821
8.161895236904612e-05	16.921666913369528	4.542890049653726
8.224390548818602e-05	16.622479735838596	4.361217775892724
8.286885860732591e-05	16.583164825746422	4.4613245009467235
8.349381172646581e-05	15.50740881540681	4.5987390150487615
8.41187648456057e-05	15.87708480680882	4.374285565029128
8.47437179647456e-05	15.870358930329136	4.360562787190626
8.536867108388548e-05	15.472521679945267	4.370553175166668
8.599362420302538e-05	15.843587952702048	4.421893842692487
8.661857732216527e-05	14.854242218030615	4.526396854492142
8.724353044130517e-05	14.576225172418543	4.437682560399619
8.786848356044506e-05	15.22134885979558	4.482274923783708
8.849343667958494e-05	13.374623709981366	4.369385733476511
8.911838979872484e-05	15.718028995903396	4.305055445637485
8.974334291786473e-05	14.871455901143907	4.321691354732151
9.036829603700464e-05	14.88154536385526	4.112576001456544
9.099324915614452e-05	14.90291977360574	3.9981355872620368
9.161820227528443e-05	14.499990436360923	4.081449633687027
9.224315539442429e-05	14.5235372049647	4.05027188130369
9.28681085135642e-05	14.792545259404914	3.925031176304964
9.349306163270407e-05	15.036500185935179	4.178454254504757
